"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"40","Profs Sarah Wheeler | Jeff Connor | Quentin Grafton | Lin Crase and John Quiggin","https://www.pc.gov.au/__data/assets/pdf_file/0008/227483/sub040-basin-plan.pdf","pdf","","",""
"41","Australian Floodplain Association (AFA)","https://www.pc.gov.au/__data/assets/pdf_file/0005/227507/sub041-basin-plan.pdf","pdf","","",""
"42","Wentworth Group of Concerned Scientists","https://www.pc.gov.au/__data/assets/pdf_file/0006/227508/sub042-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0007/227509/sub042-basin-plan-attachment1.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0017/227510/sub042-basin-plan-attachment2.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0018/227511/sub042-basin-plan-attachment3.pdf","",""
"43","NSW Nature Conservation Council (NCC)","https://www.pc.gov.au/__data/assets/pdf_file/0019/227512/sub043-basin-plan.pdf","pdf","","",""
"44","Australian Dairy Industry Council Inc (ADIC)","https://www.pc.gov.au/__data/assets/pdf_file/0020/227513/sub044-basin-plan.pdf","pdf","","",""
"45","Australian Competition and Consumer Commission (ACCC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/227514/sub045-basin-plan.pdf","pdf","","",""
"46","Anne Hartnett","https://www.pc.gov.au/__data/assets/pdf_file/0004/227515/sub046-basin-plan.pdf","pdf","","",""
"47","Cotton Australia","https://www.pc.gov.au/__data/assets/pdf_file/0005/227516/sub047-basin-plan.pdf","pdf","","",""
"48","Wentworth Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0006/227517/sub048-basin-plan.pdf","pdf","","",""
"49","Lachlan Valley Water (LVW)","https://www.pc.gov.au/__data/assets/pdf_file/0007/227518/sub049-basin-plan.pdf","pdf","","",""
"50","Murray River Council","https://www.pc.gov.au/__data/assets/pdf_file/0008/227519/sub050-basin-plan.pdf","pdf","","",""
"51","Paul Harvey","https://www.pc.gov.au/__data/assets/pdf_file/0018/227520/sub051-basin-plan.pdf","pdf","","",""
"52","Murray Darling Association","https://www.pc.gov.au/__data/assets/pdf_file/0019/227521/sub052-basin-plan.pdf","pdf","","",""
"53","Ann Lucas","https://www.pc.gov.au/__data/assets/pdf_file/0008/227528/sub053-basin-plan.pdf","pdf","","",""
"54","Alistair Watson","https://www.pc.gov.au/__data/assets/pdf_file/0009/227529/sub054-basin-plan.pdf","pdf","","",""
"55","Catchment Management Consulting","https://www.pc.gov.au/__data/assets/pdf_file/0019/227530/sub055-basin-plan.pdf","pdf","","",""
"56","Macquarie River Food and Fibre (MRFF)","https://www.pc.gov.au/__data/assets/pdf_file/0020/227531/sub056-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0003/227532/sub056-basin-plan-attachment1.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0004/227533/sub056-basin-plan-attachment2.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0005/227534/sub056-basin-plan-attachment3.pdf","",""
"57","Warren Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0006/227535/sub057-basin-plan.pdf","pdf","","",""
"58","Renmark Paringa Council","https://www.pc.gov.au/__data/assets/pdf_file/0007/227536/sub058-basin-plan.pdf","pdf","","",""
"59","Balonne Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0008/227537/sub059-basin-plan.pdf","pdf","","",""
"60","NSW Farmers' Association","https://www.pc.gov.au/__data/assets/pdf_file/0009/227538/sub060-basin-plan.pdf","pdf","","",""
"61","Queensland Farmers' Federation (QFF)","https://www.pc.gov.au/__data/assets/pdf_file/0010/227539/sub061-basin-plan.pdf","pdf","","",""
"62","Goulburn Murray Irrigation District (GMID) Water Leadership","https://www.pc.gov.au/__data/assets/pdf_file/0020/227540/sub062-basin-plan.pdf","pdf","","",""
"63","Lower Edward River Pumpers and Landholders","https://www.pc.gov.au/__data/assets/pdf_file/0003/227541/sub063-basin-plan.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0007/227545/sub063-basin-plan-attachment.pdf","",""
"64","Frances Pietroboni","https://www.pc.gov.au/__data/assets/pdf_file/0009/227547/sub064-basin-plan.pdf","pdf","","",""
"65","Islex Australia","https://www.pc.gov.au/__data/assets/pdf_file/0005/227624/sub065-basin-plan.pdf","pdf","","",""
"66","The Hon Dean Brown AO","https://www.pc.gov.au/__data/assets/pdf_file/0007/227626/sub066-basin-plan.pdf","pdf","","",""
"67","Sarah Moles","https://www.pc.gov.au/__data/assets/pdf_file/0008/227627/sub067-basin-plan.pdf","pdf","","",""
"68","Macquarie Marshes Environmental Landholders Association (MMELA)","https://www.pc.gov.au/__data/assets/pdf_file/0009/227628/sub068-basin-plan.pdf","pdf","","",""
"69","Murray Valley Private Diverters (MVPD)","https://www.pc.gov.au/__data/assets/pdf_file/0020/227630/sub069-basin-plan.pdf","pdf","","",""
"70","Ricegrowers’ Association of Australia (RGA)","https://www.pc.gov.au/__data/assets/pdf_file/0004/227632/sub070-basin-plan.pdf","pdf","","",""
