"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"37","Independent Pricing and Regulatory Tribunal","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20IPART-%20%2030%20October%202020.pdf","pdf","","",""
"38","Jeremy Morton","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Jeremy%20Morton%20-%202%20November%202020_Redacted.pdf","pdf","","",""
"39","Jodie Hay","https://www.accc.gov.au/system/files/Jodie%20Hay_.pdf","pdf","","",""
"40","John Brian","https://www.accc.gov.au/system/files/John%20Brian_Redacted.pdf","pdf","","",""
"41","Joy Boucher, Narelle Pratt, Jamie Park - Submission A","https://www.accc.gov.au/system/files/Joy%20Boucher%2C%20Narelle%20Pratt%2C%20Jamie%20Park%20-%20Submission%20A.pdf","pdf","","",""
"42","Kilter Rural","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Kilter%20Rural%20-%2030%20October%202020.pdf","pdf","","",""
"43","Lachlan Valley Water Inc","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Lachlan%20Valley%20Water%20Inc%20-%2030%20October%202020.pdf","pdf","","",""
"44","Leeton Shire Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Leeton%20Shire%20Council%20-%2030%20October%202020.pdf","pdf","","",""
"45","Lifeblood Alliance","https://www.accc.gov.au/system/files/Lifeblood%20Alliance.pdf","pdf","","",""
"46","Lin Crase","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Lin%20Crase%20-%20%28sub%20only%29%2021%20August%202020.pdf","pdf","","",""
"47","Lislea Lodge Pty Ltd","https://www.accc.gov.au/system/files/%C2%A0Lislea%20Lodge%20Pty%20Ltd.pdf","pdf","","",""
"48","Marianne Graham","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Marianne%20Graham%20-%2024%20November%202020.pdf","pdf","","",""
"49","Marieann Westerhoff","https://www.accc.gov.au/system/files/Marieann%20Westerhoff_Redacted.pdf","pdf","","",""
"50","Mildura Community Water Bank","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Mildura%20Community%20Water%20Bank%20-%2030%20October%202020.pdf","pdf","","",""
"51","Murray Darling Association","https://www.accc.gov.au/system/files/Murray%20Darling%20Association.pdf","pdf","","",""
"52","Murray Irrigation Limited","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Murray%20Irrigation%20Limited-%20%2030%20October%202020.pdf","pdf","","",""
"53","Murray River Group of Councils","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-Murray%20River%20Group%20of%20Councils%20-%2029%20October%202020.pdf","pdf","","",""
"54","Murray Valley Private Diverters (Inc)","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Murray%20Valley%20Private%20Diverters%20%28Inc%29%20-%2030%20October%202020.pdf","pdf","","",""
