"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"33","Fruit Growers Victoria Ltd","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Fruit%20Growers%20Victoria%20Ltd%20-%20CONFIDENTIAL%20-%2028%20November%202019.pdf","pdf","","",""
"34","Garner Smith","https://www.accc.gov.au/system/files/Redacted_Water%20Inquiry%20-%20Submission%20-%20Garner%20Smith%20-%20November%2019%20%281%29.pdf","pdf","","",""
"35","Georgina West","https://www.accc.gov.au/system/files/pdf%20Water%20Inquiry%20-%20Submission%20-%20Georgina%20West%20-%2029%20Nov%2019.pdf","pdf","","",""
"36","goFARM Australia Pty Ltd","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20goFARM%20Australia%20Pty%20Ltd%20-%20CONFIDENTIAL%20-%2029%20November%202019.pdf","pdf","","",""
"37","Goulburn Murray Irrigation District Water Leadership","https://www.accc.gov.au/system/files/_Redacted_%20Water%20Inquiry%20-%20Submission%20-%20GMID%20Water%20Leadership%20-%2029%20Nov%2019.pdf","pdf","","",""
"38","Goulburn Valley Environment Group Inc.","https://www.accc.gov.au/system/files/PDF_Water%20inquiry%20-%20Submission%20-%20Goulburn%20Valley%20Environment%20Group%20-%2026%20November%202019%20%282%29.pdf","pdf","","",""
"39","Green Dymension","https://www.accc.gov.au/system/files/_pdf_D19-193389%20Water%20Inquiry%20-%20Submission%20-%20Green%20Dymension%20-%2029%20Nov%2019.pdf","pdf","","",""
"40","Griffith Business Chamber","https://www.accc.gov.au/system/files/_Redacted_Water%20inquiry%20-%20Submission%20-%20Griffith%20Business%20Chamber%20-%204%20Nov%2019.pdf","pdf","","",""
"41","Gwydir Valley Irrigators Association","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Gwydir%20Valley%20Irrigators%20Association%20-%202%20December%202019.pdf","pdf","","",""
"42","H2OX","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20H2OX%20-%209%20December%202019.pdf","pdf","","",""
"43","Independent Pricing and Regulatory Tribunal","https://www.accc.gov.au/system/files/_Redacted_Water%20Inquiry%20-%20Submission%20-%20Independent%20Pricing%20and%20Regulatory%20Tribunal%20-%2029%20Nov%2019_Redacted.pdf","pdf","","",""
"44","Jeff Knispel","https://www.accc.gov.au/system/files/__Redacted_%20Water%20inquiry%20-%20%20Submission%20from%20Jeff%20Knispel%20-%2023%20October%202019.pdf","pdf","","",""
"45","Jeff Leamon","https://www.accc.gov.au/system/files/PDF_Water%20inquiry%20-%20Submission%20-%20Jeff%20Leamon%20-%2018%20November%202019.pdf","pdf","","",""
"46","Jeremy Rorke","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Jeremy%20Rorke%20-%2027%20Nov%2019.pdf","pdf","","",""
"47","Jim Pratley","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Jim%20Pratley%20-%207%20November%202019.pdf","pdf","","",""
"48","John Kennedy","https://www.accc.gov.au/system/files/PDF_%20Water%20Inquiry%20-%20Submission%20-%20John%20Kennedy%20-%2019%20Nov%20%281%29.pdf","pdf","","",""
"49","Kenneth Spinks","https://www.accc.gov.au/system/files/redacted%20-%20Water%20Inquiry%20-%20Submission%20-%20Kenneth%20Spinks%20-%207%20November%202019.pdf","pdf","","",""
"50","Key Water","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Key%20Water%20-%2029%20Nov%2019.pdf","pdf","","",""
"51","Kilter Rural","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Kilter%20Rural%20%281%29.pdf","pdf","","",""
"52","Laurel Dunmore","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Laurel%20Dunmore%20-%2021%20November%202019.pdf","pdf","","",""
"53","Laurie Fry","https://www.accc.gov.au/system/files/redacted%20-%20Water%20inquiry%20-%20submission%20-%20Laurie%20Fry%20-%207%20November%202019%202.pdf","pdf","","",""
"54","Leeton Shire Council","https://www.accc.gov.au/system/files/CombinedPDF_Water%20Inquiry%20-%20Submission%20-%20Leeton%20Shire%20Council.pdf","pdf","","",""
"55","Lifeblood Alliance","https://www.accc.gov.au/system/files/_Redacted_Water%20Inquiry%20-%20Submission%20-%20Lifeblood%20Alliance%20-%2029%20November%202019.pdf","pdf","","",""
"56","Lindsay Leake","https://www.accc.gov.au/system/files/redacted_Water%20Inquiry%20-%20Submission%20-%20Lindsay%20Leake%20-%202%20December%202019.pdf","pdf","","",""
"57","Lindsay Rogers","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Lindsay%20Rogers%20-%2012%20November%202019.pdf","pdf","","",""
"58","Lislea Lodge Pty Ltd","https://www.accc.gov.au/system/files/pdf_Water%20inquiry%20-%20Submission%20-%20Bill%20Baxter%20-%2017%20November%202019%202%20%281%29.pdf","pdf","","",""
"59","Marion Peters","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20GMP%20Farms%20-%2029%20Nov%2019.pdf","pdf","","",""
"60","Micheal Lawry","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Micheal%20Lawry.pdf","pdf","","",""
"61","Murray Darling Association","https://www.accc.gov.au/system/files/MDA%20submission%20to%20the%20ACCC%20Inquiry%20into%20water%20Markets%20in%20the%20Murray-Darling%20Basin.pdf","pdf","","",""
