"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"73","Murrumbidgee Irrigation (MI)","https://www.pc.gov.au/__data/assets/pdf_file/0008/366560/sub073-basin-plan-2023.pdf","pdf","","",""
"74","Victorian Government","https://www.pc.gov.au/__data/assets/pdf_file/0011/366599/sub074-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0003/366600/sub074-basin-plan-2023-attachment.pdf","",""
"75","Inspector-General of Water Compliance","https://www.pc.gov.au/__data/assets/pdf_file/0008/366587/sub075-basin-plan-2023.pdf","pdf","","",""
"76","NSW Farmers Association","https://www.pc.gov.au/__data/assets/pdf_file/0009/366588/sub076-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0010/366589/sub076-basin-plan-2023-attachment.pdf","",""
"77","Department of Climate Change, Energy, the Environment and Water","https://www.pc.gov.au/__data/assets/pdf_file/0008/366596/sub077-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0008/367118/sub077-basin-plan-2023-attachment1.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0009/367119/sub077-basin-plan-2023-attachment2.pdf","",""
"78","Latji Latji Mumthelang First Peoples","https://www.pc.gov.au/__data/assets/pdf_file/0004/366601/sub078-basin-plan-2023.pdf","pdf","","",""
"79","Bourke Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0011/366617/sub079-basin-plan-2023.pdf","pdf","","",""
"80","Committee for Greater Shepparton (C4GS)","https://www.pc.gov.au/__data/assets/pdf_file/0003/366618/sub080-basin-plan-2023.pdf","pdf","","",""
"81","Wentworth Group of Concerned Scientists","https://www.pc.gov.au/__data/assets/pdf_file/0004/366619/sub081-basin-plan-2023.pdf","pdf","","",""
"82","Inland Rivers Network (IRN)","https://www.pc.gov.au/__data/assets/pdf_file/0005/366620/sub082-basin-plan-2023.pdf","pdf","","",""
"83","Upper Murrumbidgee Demonstration Reach (UMDR)","https://www.pc.gov.au/__data/assets/pdf_file/0006/366621/sub083-basin-plan-2023.pdf","pdf","","",""
"84","Upper Murrumbidgee Catchment Network (UMCN)","https://www.pc.gov.au/__data/assets/pdf_file/0010/366661/sub084-basin-plan-2023.pdf","pdf","","",""
"85","ACT Government Environment Planning and Sustainable Development Directorate (EPSDD)","https://www.pc.gov.au/__data/assets/pdf_file/0004/366664/sub085-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0005/366665/sub085-basin-plan-2023-attachment.pdf","",""
"86","Dharriwaa Elders Group","https://www.pc.gov.au/__data/assets/pdf_file/0006/366666/sub086-basin-plan-2023.pdf","pdf","","",""
"87","Temba Orchards","https://www.pc.gov.au/__data/assets/pdf_file/0007/366667/sub087-basin-plan-2023.pdf","pdf","","",""
"88","Australian Conservation Foundation (ACF)","https://www.pc.gov.au/__data/assets/pdf_file/0009/366669/sub088-basin-plan-2023.pdf","pdf","","",""
"89","Gwydir Valley Irrigators Association (GVIA)","https://www.pc.gov.au/__data/assets/pdf_file/0009/366696/sub089-basin-plan-2023.pdf","pdf","","",""
"90","Slattery and Johnson","https://www.pc.gov.au/__data/assets/pdf_file/0004/366700/sub090-basin-plan-2023.pdf","pdf","","",""
"91","Environmental Defenders Office (EDO)","https://www.pc.gov.au/__data/assets/pdf_file/0007/366703/sub091-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0008/366704/sub091-basin-plan-2023-attachment1.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0009/366705/sub091-basin-plan-2023-attachment2.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0010/366706/sub091-basin-plan-2023-attachment3.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0011/366707/sub091-basin-plan-2023-attachment4.pdf","",""
"92","Murray Lower Darling Rivers Indigenous Nations (MLDRIN)","https://www.pc.gov.au/__data/assets/pdf_file/0011/366716/sub092-basin-plan-2023.pdf","pdf","","",""
"93","Macquarie Marshes Environmental Landholders Association (MMELA)","https://www.pc.gov.au/__data/assets/pdf_file/0006/366747/sub093-basin-plan-2023.pdf","pdf","","",""
"94","Namoi Water","https://www.pc.gov.au/__data/assets/pdf_file/0008/366749/sub094-basin-plan-2023.pdf","pdf","","",""
"95","Murray Valley Private Diverters (MVPD)","https://www.pc.gov.au/__data/assets/pdf_file/0009/366750/sub095-basin-plan-2023.pdf","pdf","","",""
"96","South Australian Murray Irrigators (SAMI)","https://www.pc.gov.au/__data/assets/pdf_file/0011/366752/sub096-basin-plan-2023.pdf","pdf","","",""
"97","Southern Riverina Irrigators (SRI)","https://www.pc.gov.au/__data/assets/pdf_file/0011/366779/sub097-basin-plan-2023.pdf","pdf","","",""
"98","Louise Burge","https://www.pc.gov.au/__data/assets/pdf_file/0009/366930/sub098-basin-plan-2023.pdf","pdf","","",""
"99","Environment Victoria","https://www.pc.gov.au/__data/assets/pdf_file/0011/367049/sub099-basin-plan-2023.pdf","pdf","","",""
"100","Ken Jury","https://www.pc.gov.au/__data/assets/pdf_file/0006/367125/sub100-basin-plan-2023.pdf","pdf","","",""
"101","NSW Aboriginal Land Council (NSWALC)","https://www.pc.gov.au/__data/assets/pdf_file/0008/367208/sub101-basin-plan-2023.pdf","pdf","","",""
"102","SmartRivers","https://www.pc.gov.au/__data/assets/pdf_file/0010/367903/sub102-basin-plan-2023.pdf","pdf","","",""
"103","NSW Irrigators Council (NSWIC)","https://www.pc.gov.au/__data/assets/pdf_file/0007/367927/sub103-basin-plan-2023.pdf","pdf","","",""
